route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
17,12,10156,Centro,1,,10864
12,12,10157,Chamorra,0,,17481
12,12,10158,Centro,1,,17484
12,22,10159,Chamorra,0,,17481
12,22,10160,Centro,1,,17484
75,22,10161,Álamos - V. Achada,0,,12701
75,22,10162,Centro,1,,12702
75,22,10163,Álamos - V. Achada,0,,12701
75,22,10164,Centro,1,,12702
56,12,10165,S João Latrão,0,,20221
56,12,10166,Centro,1,,20222
9,12,10167,STA Quitéria,0,,19683
9,12,10168,Centro,1,,19684
56,22,10169,S João Latrão,0,,20221
71,23,10170,Ponta Laranjeira - Linha Verde,0,,19581
71,23,10171,Centro - Linha Verde,1,,19582
71,23,10172,Ponta Laranjeira - Linha Verde,0,,19581
71,23,10173,Centro - Linha Verde,1,,19582
71,23,10174,Ponta Laranjeira - Linha Verde,0,,19581
71,23,10175,Centro - Linha Verde,1,,19582
71,23,10176,Ponta Laranjeira - Linha Verde,0,,19581
71,23,10177,Centro - Linha Verde,1,,19582
72,23,10178,Ponta da Cruz - Linha Verde,0,,20421
71,23,10179,Ponta Laranjeira - Linha Verde,0,,19581
17,23,10180,Centro,1,,10864
50,23,10181,Quinta da Rocha S. Gonçalo,0,,18121
50,23,10182,Centro,1,,18122
21,23,10183,Centro,1,,17302
21,23,10184,Centro,1,,17302
21,23,10185,Centro,1,,19764
21,23,10186,Centro,1,,17302
27,22,10187,Centro,1,,19484
9,22,10188,STA Quitéria,0,,19683
56,22,10189,Centro,1,,20222
27,12,10190,Centro,1,,19484
9,22,10191,Centro,1,,19684
59,22,10192,Fundoa,0,,19521
59,12,10193,Fundoa,0,,19521
21,22,10194,Pinheiro das Voltas,0,,19761
21,22,10195,Centro,1,,19762
17,22,10196,Álamos,0,,18141
17,22,10197,Centro,1,,18142
21,12,10198,Pinheiro das Voltas,0,,19761
21,12,10199,Centro,1,,19762
17,12,10200,Álamos,0,,18141
17,12,10201,Centro,1,,18142
16,12,10202,Centro,1,,19384
16,22,10203,Centro,1,,19384
45,23,10204,Centro,1,,16902
48,23,10205,ZN Industrial,0,,19981
48,23,10206,Centro,1,,19982
48,23,10207,ZN Industrial,0,,14365
48,23,10208,Centro,1,,14366
45,23,10209,Palheiro Ferreiro Via Ribeiro da Quinta,0,,16901
45,23,10210,Centro,1,,16902
45,23,10211,Palheiro Ferreiro Via Ribeiro da Quinta,0,,16901
45,23,10212,Centro,1,,16902
48,23,10213,Centro,1,,19982
49,23,10214,ZN Industrial,0,,20101
49,23,10215,Centro,1,,20102
48,23,10216,ZN Industrial,0,,14365
48,23,10217,Centro,1,,14366
24,23,10218,Centro,1,,18162
51,23,10219,Alegria,0,,20023
83,23,10220,Nogueira,0,,13201
79,23,10221,Boqueirão Via Caniço,0,,14461
90,23,10222,Curral das Freiras Via Fajã dos Cardos,0,,13509
90,23,10223,Funchal,1,,13510
22,23,10224,Centro,1,,19424
40,23,10225,Rochinha,0,,5807
40,23,10226,Lombo Segundo,1,,5808
22,23,10227,Centro,1,,19422
40,23,10228,Rochinha,0,,5807
40,23,10229,Lombo Segundo,1,,5808
22,23,10230,Centro,1,,19422
40,23,10231,Rochinha,0,,5807
40,23,10232,Lombo Segundo,1,,5808
22,23,10233,Centro,1,,19422
40,23,10234,Rochinha,0,,5807
40,23,10235,Lombo Segundo,1,,5808
22,23,10236,Centro,1,,19422
40,23,10237,Rochinha,0,,5807
40,23,10238,Lombo Segundo,1,,5808
22,23,10239,Centro,1,,19422
40,23,10240,Rochinha,0,,5807
40,23,10241,Lombo Segundo,1,,5808
22,23,10242,Centro,1,,19422
40,23,10243,Rochinha,0,,5807
40,23,10244,Centro,1,,5806
54,23,10245,Nazaré Via Virtudes,0,,17981
54,23,10246,Centro,1,,17982
54,23,10247,Nazaré Via Virtudes,0,,17981
57,23,10248,Nazaré - Via Penteada,1,,19544
68,23,10249,Praça Autonomia,0,,15483
27,23,10250,Centro,1,,19462
27,23,10251,Monte Via LG Fonte Lajinhas,0,,19483
27,23,10252,Centro,1,,20122
27,23,10253,Monte Via LG Fonte,0,,19461
27,23,10254,Centro,1,,14746
21,23,10255,Pinheiro das Voltas,0,,19761
21,23,10256,Centro,1,,19762
21,23,10257,Pinheiro das Voltas (Via Cova Til),0,,19763
35,23,10258,D. João,0,,19441
35,23,10259,Centro,1,,19442
57,23,10260,Nazaré - Via Penteada,1,,19544
57,23,10261,Nazaré - Via Penteada,1,,19544
56,23,10262,Centro,1,,20222
60,23,10263,Viana,1,,17364
9,23,10264,STA Quitéria,0,,19683
9,23,10265,STA Quitéria,0,,19683
9,23,10266,STA Quitéria,0,,19683
9,23,10267,STA Quitéria,0,,19683
77,23,10268,Praia Formosa,1,,20164
77,23,10269,Praia Formosa,1,,20164
77,23,10270,Praia Formosa,1,,20164
77,23,10271,Praia Formosa,1,,20164
59,23,10272,,1,,19522
60,23,10273,Lombo Quinta,0,,17363
60,23,10274,Lombo Quinta,0,,17363
60,23,10275,Viana,1,,17364
59,23,10276,Centro,1,,10626
13,23,10277,Chamorra Barreira,0,,19951
13,23,10278,Chamorra Barreira,0,,19951
13,23,10279,Chamorra Barreira,0,,19951
21,23,10280,Pinheiro das Voltas (Via Cova Til),0,,19763
21,23,10281,Pinheiro das Voltas,0,,19761
21,23,10282,Centro,1,,19762
21,23,10283,Pinheiro das Voltas (Via Cova Til),0,,19763
73,23,10284,Centro,1,,19902
71,23,10285,Ponta Laranjeira - Linha Verde,0,,19581
71,23,10286,Ponta Laranjeira - Linha Verde,0,,19581
73,13,10287,Lombada - Pizo,0,,19901
71,23,10288,Centro - Linha Verde,1,,19582
71,23,10289,Centro - Linha Verde,1,,19582
73,23,10290,Centro,1,,19902
73,13,10291,Lombada - Pizo,0,,19901
73,23,10292,Centro,1,,19902
59,23,10293,,1,,20046
59,13,10294,,1,,20046
77,23,10295,Praia Formosa,1,,20164
77,23,10296,Praia Formosa,1,,20164
77,23,10297,Praia Formosa,1,,20164
77,23,10298,Praia Formosa,1,,20164
60,21,10299,Viana,1,,16104
24,21,10300,Lev. Corujeira - Via Pena,0,,18161
24,21,10301,Centro,1,,18162
24,21,10302,Lev. Corujeira - Via Pena,0,,18161
24,21,10303,Centro,1,,18162
24,21,10304,Lev. Corujeira - Via Pena,0,,18161
24,21,10305,Centro,1,,18162
24,21,10306,Lev. Corujeira - Via Pena,0,,18161
24,21,10307,Centro,1,,18162
33,21,10308,LEV STA Luzia,0,,19323
33,21,10309,LEV STA Luzia,0,,19321
33,21,10310,LEV STA Luzia,0,,19321
77,23,10311,Romeiras,0,,20163
77,23,10312,Romeiras,0,,20163
77,23,10313,Romeiras,0,,20163
77,23,10314,Romeiras,0,,20163
77,23,10315,Romeiras,0,,20163
77,23,10316,Romeiras,0,,20163
77,23,10317,Romeiras,0,,20163
48,23,10318,Centro,1,,14366
16,23,10319,Centro,1,,19742
16,23,10320,Centro,1,,19384
56,23,10321,S João Latrão,0,,20221
56,23,10322,Centro,1,,20222
33,21,10323,LEV STA Luzia,0,,19321
33,21,10324,Centro,1,,19322
33,21,10325,LEV STA Luzia,0,,19321
33,21,10326,Centro,1,,19322
41,21,10327,Balancal,0,,19341
77,21,10328,Praia Formosa,1,,20164
77,21,10329,Romeiras,0,,20163
77,21,10330,Praia Formosa,1,,20164
77,21,10331,Romeiras,0,,20163
77,21,10332,Praia Formosa,1,,20164
77,21,10333,Romeiras,0,,20163
77,21,10334,Praia Formosa,1,,20164
41,21,10335,Centro,1,,19342
25,21,10336,Centro,1,,17042
72,21,10337,Ponta da Cruz - Linha Verde,0,,20421
25,21,10338,Monte Via Corujeira de Dentro,0,,19501
25,21,10339,Centro,1,,19502
27,21,10340,Monte Via LG Fonte,0,,19461
72,21,10341,Ponta da Cruz - Linha Verde,0,,20421
72,21,10342,Ponta da Cruz - Linha Verde,0,,20421
72,21,10343,Ponta da Cruz - Linha Verde,0,,20421
72,21,10344,Ponta da Cruz - Linha Verde,0,,20421
72,21,10345,Ponta da Cruz - Linha Verde,0,,20421
12,21,10346,Centro,1,,17482
12,21,10347,Chamorra,0,,17481
12,21,10348,Centro,1,,17482
12,21,10349,Chamorra,0,,17481
12,21,10350,Centro,1,,17484
24,21,10351,Lev. Corujeira - Via Pena,0,,18161
24,21,10352,Centro,1,,18162
38,21,10353,Jardim Botânico,0,,5781
11,21,10354,Courelas,0,,14021
11,21,10355,Centro,1,,14022
54,21,10356,Nazaré Via Virtudes,0,,17981
54,21,10357,Centro,1,,17982
54,21,10358,Nazaré Via Virtudes,0,,17981
54,21,10359,Centro,1,,17982
60,23,10360,Viana,1,,17364
60,23,10361,Lombo Quinta,0,,17363
60,23,10362,Viana,1,,17364
12,23,10363,Chamorra,0,,17481
12,23,10364,Chamorra,0,,17481
53,21,10365,Nazaré Via Virtudes,0,,17961
54,21,10366,Nazaré Via Virtudes,0,,17981
54,21,10367,Centro,1,,17982
53,21,10368,Centro,1,,17962
53,21,10369,Nazaré Via Virtudes,0,,17961
53,21,10370,Centro,1,,17962
73,21,10371,Lombada - Pizo,0,,19901
73,21,10372,Centro,1,,19902
59,21,10373,Universidade - Fundoa,0,,20045
54,21,10374,Nazaré Via Virtudes,0,,17981
54,21,10375,Centro,1,,17982
73,21,10376,Lombada - Pizo,0,,19901
73,21,10377,Centro,1,,19902
54,21,10378,Nazaré Via Virtudes,0,,17981
54,21,10379,Centro,1,,17982
49,21,10380,ZN Industrial,0,,20103
49,21,10381,Centro,1,,20102
49,21,10382,ZN Industrial,0,,20101
49,21,10383,Centro,1,,20102
49,21,10384,ZN Industrial,0,,20101
49,21,10385,Centro,1,,20102
48,21,10386,ZN Industrial,0,,19981
48,21,10387,Centro,1,,19982
60,21,10388,Viana,1,,16104
27,21,10389,Monte Via LG Fonte,0,,19461
27,21,10390,Centro,1,,19462
27,21,10391,Monte Via LG Fonte Lombos e Lajinhas,0,,20121
27,21,10392,Centro,1,,20122
74,21,10393,Centro - Linha Verde,1,,19882
74,21,10394,ESCL S Martinho,0,,19881
74,21,10395,ESCL S Martinho,0,,19881
74,21,10396,Centro - Linha Verde,1,,19882
74,21,10397,ESCL S Martinho,0,,19881
74,21,10398,Centro - Linha Verde,1,,19882
74,21,10399,ESCL S Martinho,0,,19881
12,21,10400,Centro,1,,17482
14,21,10401,Trapiche,0,,13081
14,21,10402,Centro,1,,11722
41,21,10403,Centro,1,,19342
74,21,10404,Centro - Linha Verde,1,,19882
74,21,10405,ESCL S Martinho,0,,19881
8,21,10406,Travessa do Pomar,0,,8601
8,21,10407,Centro,1,,8602
8,21,10408,Travessa do Pomar,0,,8601
8,21,10409,Centro,1,,8602
8,21,10410,Travessa do Pomar,0,,8601
8,21,10411,Centro,1,,8602
9,23,10412,STA Quitéria,0,,19683
9,23,10413,STA Quitéria,0,,19683
9,23,10414,STA Quitéria,0,,19683
9,23,10415,STA Quitéria,0,,19683
9,23,10416,STA Quitéria,0,,19683
36,23,10417,Curral dos Romeiros,0,,15041
36,23,10418,Centro,1,,15042
36,23,10419,Curral dos Romeiros,0,,15041
36,23,10420,Centro,1,,15042
36,23,10421,Curral dos Romeiros,0,,15041
36,23,10422,Centro,1,,15042
36,23,10423,Curral dos Romeiros,0,,15041
36,23,10424,Centro,1,,15042
29,23,10425,Centro - D. Carlos I,1,,19782
29,23,10426,Centro - D. Carlos I,1,,19782
29,23,10427,Centro - D. Carlos I,1,,19782
29,23,10428,Centro - D. Carlos I,1,,19782
13,23,10429,Centro,1,,19942
13,23,10430,Chamorra Barreira,0,,19951
13,23,10431,Chamorra Barreira,0,,19951
13,23,10432,Chamorra Barreira,0,,19951
13,23,10433,Chamorra Barreira,0,,19951
14,23,10434,Trapiche,0,,13081
14,23,10435,Centro,1,,13082
13,23,10436,Chamorra Barreira,0,,19951
59,21,10437,Fundoa,0,,18243
20,22,10438,Galeão - Escola,0,,9243
20,22,10439,Centro,1,,9244
13,23,10440,Chamorra Barreira,0,,19951
13,23,10441,Chamorra Barreira,0,,19951
13,23,10442,Chamorra Barreira,0,,19941
13,23,10443,,1,,19946
38,23,10444,Centro,1,,5782
38,23,10445,Jardim Botânico,0,,5781
38,23,10446,Centro,1,,5782
38,23,10447,Jardim Botânico,0,,5781
38,23,10448,Centro,1,,5782
38,23,10449,Jardim Botânico,0,,5781
38,23,10450,Jardim Botânico,0,,5781
38,23,10451,Centro,1,,5782
38,23,10452,Jardim Botânico,0,,5781
38,23,10453,Centro,1,,5782
38,23,10454,Jardim Botânico,0,,5781
38,23,10455,Centro,1,,5782
59,23,10456,,1,,19522
72,23,10457,Ponta da Cruz - Linha Verde,0,,20421
72,23,10458,Ponta da Cruz - Linha Verde,0,,20421
72,23,10459,Ponta da Cruz - Linha Verde,0,,20421
72,23,10460,Ponta da Cruz - Linha Verde,0,,20421
71,23,10461,Ponta Laranjeira - Linha Verde,0,,19581
71,23,10462,Centro - Linha Verde,1,,19582
71,23,10463,Ponta Laranjeira - Linha Verde,0,,19581
71,23,10464,Centro - Linha Verde,1,,19582
71,23,10465,Ponta Laranjeira - Linha Verde,0,,19581
71,23,10466,Centro - Linha Verde,1,,19582
71,23,10467,Ponta Laranjeira - Linha Verde,0,,19581
71,23,10468,Centro - Linha Verde,1,,19582
71,23,10469,Ponta Laranjeira - Linha Verde,0,,19581
